id,timestamp,sensor,scene_id,class,detection_confidence,slick_confidence,area_km2,age_estimate_hours,centroid_lat,centroid_lon,polygon_wkt,hitl_reviewed
SLK-0026,2026-06-20T01:24:59Z,EOS-04,EOS04_20260620_012459_381,coincident_vessel,0.722,0.796,10.275,49.9,9.42833,76.3876,"POLYGON((76.4004 9.42935, 76.40016 9.44389, 76.38229 9.44394, 76.37609 9.43464, 76.37605 9.42088, 76.3861 9.41192, 76.39465 9.41834, 76.4004 9.42935))",False
SLK-0050,2026-06-20T22:50:16Z,EOS-04,EOS04_20260620_225016_109,natural_seep,0.911,0.643,2.93,70.6,9.88969,75.76054,"POLYGON((75.7709 9.89034, 75.76756 9.89611, 75.75977 9.899, 75.75586 9.89405, 75.75 9.89092, 75.75513 9.88564, 75.76043 9.88296, 75.767 9.8823, 75.7709 9.89034))",False
SLK-0029,2026-06-21T02:59:32Z,Sentinel-1B,Sentinel1B_20260621_025932_424,old_vessel,0.967,0.737,1.417,13.7,9.50734,75.9088,"POLYGON((75.91425 9.50738, 75.91511 9.5116, 75.91003 9.51273, 75.90485 9.51298, 75.90227 9.50937, 75.90416 9.5055, 75.90522 9.50217, 75.90952 9.49961, 75.91269 9.5037, 75.91425 9.50738))",False
SLK-0063,2026-06-21T22:04:30Z,Sentinel-1B,Sentinel1B_20260621_220430_959,recent_vessel,0.936,0.74,12.24,82.3,9.49606,76.36004,"POLYGON((76.37277 9.49596, 76.36907 9.50671, 76.35351 9.51412, 76.34552 9.50278, 76.3462 9.48955, 76.35851 9.48319, 76.3676 9.48398, 76.37277 9.49596))",False
SLK-0082,2026-06-22T06:57:01Z,EOS-04,EOS04_20260622_065701_775,recent_vessel,0.93,0.784,10.498,12.6,9.44309,75.8574,"POLYGON((75.87848 9.44254, 75.86638 9.45104, 75.86186 9.45896, 75.8464 9.45711, 75.84276 9.447, 75.84363 9.44033, 75.84727 9.42962, 75.85821 9.42801, 75.87131 9.4333, 75.87848 9.44254))",False
SLK-0045,2026-06-24T02:34:14Z,Sentinel-1B,Sentinel1B_20260624_023414_271,recent_vessel,0.958,0.695,14.658,78.3,9.67838,76.2973,"POLYGON((76.31961 9.67591, 76.31248 9.69803, 76.29813 9.7036, 76.28596 9.68681, 76.27258 9.67763, 76.28742 9.66544, 76.29779 9.65383, 76.3115 9.66099, 76.31961 9.67591))",True
SLK-0066,2026-06-26T13:38:53Z,Sentinel-1B,Sentinel1B_20260626_133853_100,natural_seep,0.767,0.76,16.66,77.4,9.73872,75.78332,"POLYGON((75.79974 9.73803, 75.79759 9.75372, 75.78687 9.75657, 75.77389 9.75282, 75.76604 9.7468, 75.76668 9.73142, 75.7725 9.71511, 75.78628 9.72362, 75.79617 9.72564, 75.79974 9.73803))",False
SLK-0047,2026-06-27T19:35:40Z,Sentinel-1A,Sentinel1A_20260627_193540_905,recent_vessel,0.985,0.956,9.906,91.1,9.46716,75.8013,"POLYGON((75.81668 9.46545, 75.80914 9.48045, 75.79493 9.48319, 75.78827 9.47183, 75.78427 9.45635, 75.79605 9.45316, 75.81 9.45569, 75.81668 9.46545))",False
SLK-0088,2026-06-28T07:45:03Z,Sentinel-1B,Sentinel1B_20260628_074503_521,ambiguous,0.714,0.372,6.452,61.5,9.37683,75.78412,"POLYGON((75.79794 9.37791, 75.79229 9.38509, 75.78146 9.39219, 75.77355 9.38074, 75.77363 9.37107, 75.78159 9.36534, 75.78961 9.36831, 75.79794 9.37791))",False
SLK-0116,2026-06-29T15:30:42Z,Sentinel-1B,Sentinel1B_20260629_153042_335,coincident_vessel,0.901,0.77,5.94,38.8,10.22119,76.15478,"POLYGON((76.17029 10.21985, 76.1602 10.23013, 76.14967 10.2319, 76.14479 10.22155, 76.15039 10.21155, 76.16041 10.20805, 76.17029 10.21985))",False
SLK-0069,2026-06-30T03:58:01Z,EOS-04,EOS04_20260630_035801_490,ambiguous,0.745,0.475,0.878,34.5,9.43841,75.94873,"POLYGON((75.95444 9.43796, 75.95197 9.44154, 75.94684 9.44351, 75.94346 9.4405, 75.94331 9.43645, 75.94789 9.4335, 75.95238 9.43489, 75.95444 9.43796))",True
SLK-0034,2026-06-30T04:45:59Z,Sentinel-1A,Sentinel1A_20260630_044559_925,coincident_vessel,0.954,0.769,21.686,50.3,9.71356,75.8614,"POLYGON((75.88435 9.71442, 75.88065 9.73728, 75.85215 9.73802, 75.84139 9.72105, 75.84412 9.70588, 75.85425 9.6872, 75.87933 9.69103, 75.88435 9.71442))",False
SLK-0074,2026-07-02T09:43:06Z,Sentinel-1A,Sentinel1A_20260702_094306_564,recent_vessel,0.985,0.895,16.845,92.4,9.48985,76.01758,"POLYGON((76.03595 9.49134, 76.03193 9.50143, 76.01463 9.51291, 76.00129 9.50243, 76.00164 9.48916, 76.0055 9.47793, 76.01825 9.46406, 76.03177 9.47624, 76.03595 9.49134))",False
SLK-0052,2026-07-02T21:50:06Z,Sentinel-1B,Sentinel1B_20260702_215006_736,recent_vessel,0.91,0.854,5.124,94.9,9.59602,76.04106,"POLYGON((76.05529 9.59734, 76.0454 9.60565, 76.03498 9.60524, 76.02703 9.59762, 76.0378 9.58856, 76.04618 9.58456, 76.05529 9.59734))",False
SLK-0032,2026-07-03T00:04:57Z,EOS-04,EOS04_20260703_000457_686,old_vessel,0.796,0.579,15.823,1.8,9.63711,75.88027,"POLYGON((75.90504 9.63472, 75.89318 9.65768, 75.87677 9.65192, 75.86494 9.64346, 75.86299 9.63106, 75.87508 9.62057, 75.89349 9.6178, 75.90504 9.63472))",True
SLK-0009,2026-07-03T03:00:34Z,Sentinel-1B,Sentinel1B_20260703_030034_163,recent_vessel,0.846,0.676,18.281,52.8,10.19721,76.30647,"POLYGON((76.33188 10.19684, 76.3198 10.21072, 76.30846 10.21865, 76.2973 10.21611, 76.28866 10.20235, 76.2804 10.18928, 76.29591 10.18353, 76.3089 10.18017, 76.32131 10.18265, 76.33188 10.19684))",False
SLK-0104,2026-07-04T01:00:46Z,Sentinel-1A,Sentinel1A_20260704_010046_888,natural_seep,0.821,0.592,21.863,29.5,9.50943,75.6447,"POLYGON((75.66532 9.50857, 75.65349 9.52648, 75.63045 9.52865, 75.62304 9.50746, 75.63268 9.49349, 75.65703 9.48924, 75.66532 9.50857))",False
SLK-0019,2026-07-04T12:18:39Z,Sentinel-1B,Sentinel1B_20260704_121839_794,natural_seep,0.884,0.437,0.723,71.8,9.51513,75.99884,"POLYGON((76.00271 9.51474, 76.00296 9.51879, 75.99868 9.52044, 75.99566 9.519, 75.99559 9.51557, 75.99583 9.51226, 75.99897 9.51103, 76.00168 9.5118, 76.00271 9.51474))",False
SLK-0044,2026-07-05T10:45:16Z,Sentinel-1A,Sentinel1A_20260705_104516_280,coincident_vessel,0.965,0.681,3.997,31.0,9.51902,76.45098,"POLYGON((76.46421 9.51728, 76.45936 9.52743, 76.449 9.53193, 76.44402 9.52777, 76.43875 9.51987, 76.44634 9.51313, 76.45225 9.51066, 76.46041 9.51148, 76.46421 9.51728))",False
SLK-0023,2026-07-05T16:05:20Z,Sentinel-1B,Sentinel1B_20260705_160520_346,natural_seep,0.824,0.592,13.545,23.5,9.71657,76.23115,"POLYGON((76.24854 9.71669, 76.23851 9.73435, 76.22024 9.73198, 76.20816 9.71985, 76.2203 9.7028, 76.24132 9.69757, 76.24854 9.71669))",False
SLK-0100,2026-07-05T20:38:01Z,Sentinel-1B,Sentinel1B_20260705_203801_624,natural_seep,0.714,0.25,14.178,31.4,9.35554,75.66719,"POLYGON((75.68361 9.35355, 75.68554 9.36847, 75.67 9.36889, 75.65955 9.37173, 75.64757 9.36323, 75.65359 9.34846, 75.65456 9.33669, 75.67309 9.33228, 75.68446 9.34445, 75.68361 9.35355))",False
SLK-0060,2026-07-06T04:08:59Z,Sentinel-1B,Sentinel1B_20260706_040859_767,ambiguous,0.943,0.465,12.696,41.1,9.55452,76.32757,"POLYGON((76.35004 9.55308, 76.33539 9.56707, 76.31564 9.57223, 76.31342 9.55419, 76.31509 9.53903, 76.33652 9.54104, 76.35004 9.55308))",True
SLK-0107,2026-07-07T05:06:13Z,EOS-04,EOS04_20260707_050613_462,recent_vessel,0.813,0.64,15.829,84.5,9.82047,76.11375,"POLYGON((76.13475 9.81793, 76.1284 9.83881, 76.11195 9.83486, 76.09348 9.82799, 76.09148 9.81193, 76.10962 9.79466, 76.12173 9.80783, 76.13475 9.81793))",True
SLK-0110,2026-07-07T05:51:51Z,Sentinel-1A,Sentinel1A_20260707_055151_900,coincident_vessel,0.792,0.792,12.191,6.8,9.32891,76.20186,"POLYGON((76.22479 9.32734, 76.20878 9.34232, 76.19103 9.34674, 76.18491 9.32989, 76.19011 9.31361, 76.21156 9.30829, 76.22479 9.32734))",False
SLK-0117,2026-07-07T09:06:52Z,Sentinel-1A,Sentinel1A_20260707_090652_412,old_vessel,0.92,0.774,21.765,91.4,10.16547,75.8162,"POLYGON((75.84052 10.16529, 75.83162 10.18826, 75.80944 10.18766, 75.79619 10.17291, 75.78995 10.15589, 75.81293 10.14616, 75.83145 10.14605, 75.84052 10.16529))",True
SLK-0001,2026-07-07T21:17:41Z,Sentinel-1B,Sentinel1B_20260707_211741_718,recent_vessel,0.707,0.767,16.216,65.1,10.19218,75.68259,"POLYGON((75.69816 10.19001, 75.70058 10.20476, 75.68624 10.21502, 75.67168 10.20843, 75.66574 10.1985, 75.66106 10.18169, 75.67098 10.17636, 75.68445 10.17531, 75.69548 10.18314, 75.69816 10.19001))",True
SLK-0080,2026-07-08T21:00:35Z,EOS-04,EOS04_20260708_210035_805,infrastructure,0.765,0.887,8.488,66.3,10.07983,75.71514,"POLYGON((75.72838 10.07918, 75.73066 10.09149, 75.71453 10.09343, 75.70456 10.08824, 75.69784 10.07808, 75.70587 10.07178, 75.71545 10.06087, 75.72493 10.07108, 75.72838 10.07918))",False
SLK-0113,2026-07-09T01:05:50Z,Sentinel-1A,Sentinel1A_20260709_010550_685,recent_vessel,0.78,0.795,21.337,65.2,9.91446,76.24665,"POLYGON((76.26919 9.91112, 76.26566 9.93191, 76.24811 9.9354, 76.23345 9.93241, 76.22509 9.92505, 76.22401 9.90638, 76.23009 9.89346, 76.2478 9.88511, 76.26303 9.90119, 76.26919 9.91112))",True
SLK-0024,2026-07-09T15:55:45Z,EOS-04,EOS04_20260709_155545_584,recent_vessel,0.882,0.806,7.349,4.7,9.84601,76.37283,"POLYGON((76.38829 9.84752, 76.3798 9.85775, 76.37142 9.85668, 76.35641 9.85255, 76.3619 9.84256, 76.37048 9.8292, 76.38001 9.83606, 76.38829 9.84752))",False
SLK-0072,2026-07-10T16:04:54Z,Sentinel-1A,Sentinel1A_20260710_160454_376,ambiguous,0.779,0.46,4.105,73.3,9.91198,75.85352,"POLYGON((75.86228 9.91223, 75.85921 9.91726, 75.85104 9.91964, 75.84387 9.9154, 75.84606 9.90803, 75.85089 9.90218, 75.85825 9.90474, 75.86228 9.91223))",False
SLK-0037,2026-07-10T17:21:07Z,Sentinel-1B,Sentinel1B_20260710_172107_827,coincident_vessel,0.753,0.638,15.271,49.3,9.71824,75.73097,"POLYGON((75.75096 9.71779, 75.75011 9.73443, 75.7317 9.73419, 75.72374 9.73405, 75.70903 9.7285, 75.7082 9.70915, 75.72342 9.70002, 75.73253 9.69982, 75.74808 9.70461, 75.75096 9.71779))",False
SLK-0093,2026-07-12T11:13:43Z,Sentinel-1A,Sentinel1A_20260712_111343_767,natural_seep,0.844,0.633,17.861,64.2,9.46663,75.88454,"POLYGON((75.90799 9.46455, 75.89537 9.47855, 75.88579 9.48438, 75.87617 9.48359, 75.86015 9.47479, 75.85883 9.45631, 75.87445 9.44646, 75.88832 9.44845, 75.90181 9.4529, 75.90799 9.46455))",True
SLK-0020,2026-07-13T08:27:55Z,Sentinel-1A,Sentinel1A_20260713_082755_982,recent_vessel,0.841,0.762,8.726,57.7,9.30769,75.88635,"POLYGON((75.90392 9.30908, 75.89424 9.31628, 75.88312 9.32172, 75.87321 9.31582, 75.87165 9.3021, 75.88395 9.2942, 75.89679 9.29392, 75.90392 9.30908))",True
SLK-0055,2026-07-14T06:13:22Z,Sentinel-1B,Sentinel1B_20260714_061322_767,recent_vessel,0.838,0.71,12.371,72.3,9.9493,75.70899,"POLYGON((75.73154 9.94894, 75.72228 9.96331, 75.70623 9.96895, 75.69384 9.96592, 75.69223 9.94708, 75.69796 9.93817, 75.71166 9.92813, 75.72358 9.93381, 75.73154 9.94894))",False
SLK-0108,2026-07-14T07:38:15Z,EOS-04,EOS04_20260714_073815_638,recent_vessel,0.972,0.978,14.658,81.1,9.53384,75.88424,"POLYGON((75.90416 9.53511, 75.89629 9.54662, 75.87843 9.55635, 75.87103 9.54079, 75.86365 9.52242, 75.87925 9.52036, 75.89805 9.52034, 75.90416 9.53511))",True
SLK-0085,2026-07-14T22:11:35Z,EOS-04,EOS04_20260714_221135_949,recent_vessel,0.806,0.849,1.521,68.2,9.50471,76.53219,"POLYGON((76.53911 9.50479, 76.53633 9.51066, 76.52984 9.51135, 76.52534 9.50735, 76.52492 9.50172, 76.53085 9.49888, 76.53521 9.49974, 76.53911 9.50479))",False
SLK-0099,2026-07-15T02:01:33Z,Sentinel-1B,Sentinel1B_20260715_020133_708,ambiguous,0.853,0.349,12.579,40.3,9.37684,76.32984,"POLYGON((76.34283 9.37834, 76.339 9.39466, 76.32074 9.39359, 76.30808 9.37392, 76.32181 9.36591, 76.34152 9.3608, 76.34283 9.37834))",False
SLK-0036,2026-07-15T10:53:41Z,Sentinel-1B,Sentinel1B_20260715_105341_106,coincident_vessel,0.812,0.925,1.909,86.6,10.20521,76.52926,"POLYGON((76.53497 10.20552, 76.53341 10.20967, 76.52859 10.21079, 76.5238 10.20826, 76.52363 10.20194, 76.52852 10.19729, 76.53401 10.19933, 76.53497 10.20552))",True
SLK-0003,2026-07-16T21:24:11Z,Sentinel-1B,Sentinel1B_20260716_212411_926,ambiguous,0.969,0.456,15.699,38.6,9.97169,75.95475,"POLYGON((75.97171 9.96978, 75.9719 9.98452, 75.95905 9.9879, 75.94626 9.99174, 75.93165 9.98214, 75.94112 9.96509, 75.94199 9.95341, 75.95616 9.95606, 75.97273 9.9604, 75.97171 9.96978))",True
SLK-0101,2026-07-17T08:54:54Z,Sentinel-1A,Sentinel1A_20260717_085454_800,natural_seep,0.829,0.478,13.227,9.1,9.72254,75.94982,"POLYGON((75.96774 9.72219, 75.96213 9.73406, 75.9465 9.73762, 75.93608 9.72815, 75.9316 9.71392, 75.94629 9.70675, 75.96403 9.70429, 75.96774 9.72219))",True
SLK-0042,2026-07-19T04:03:29Z,EOS-04,EOS04_20260719_040329_536,natural_seep,0.816,0.44,1.895,56.5,10.21743,75.67124,"POLYGON((75.67894 10.21674, 75.67348 10.22223, 75.66629 10.22414, 75.6623 10.21843, 75.66578 10.21049, 75.67513 10.21048, 75.67894 10.21674))",True
SLK-0054,2026-07-19T10:21:17Z,EOS-04,EOS04_20260719_102117_149,recent_vessel,0.904,0.508,1.055,16.2,9.44045,76.28101,"POLYGON((76.28662 9.43979, 76.28649 9.44418, 76.28207 9.44543, 76.27759 9.44529, 76.27653 9.44268, 76.27536 9.43757, 76.27807 9.43511, 76.28193 9.43481, 76.28451 9.43828, 76.28662 9.43979))",True
SLK-0025,2026-07-19T10:51:24Z,EOS-04,EOS04_20260719_105124_220,old_vessel,0.71,0.663,1.526,74.8,9.66633,75.96371,"POLYGON((75.97076 9.66655, 75.96594 9.67169, 75.95994 9.67173, 75.95773 9.66628, 75.96122 9.66159, 75.96659 9.65975, 75.97076 9.66655))",False
SLK-0022,2026-07-21T02:09:21Z,Sentinel-1B,Sentinel1B_20260721_020921_185,recent_vessel,0.918,0.735,17.254,22.8,9.53917,76.51732,"POLYGON((76.53467 9.54125, 76.53362 9.5542, 76.52207 9.56324, 76.50509 9.55654, 76.50143 9.54531, 76.49533 9.53342, 76.51105 9.52502, 76.52064 9.51997, 76.53766 9.52637, 76.53467 9.54125))",False
SLK-0068,2026-07-22T08:42:28Z,Sentinel-1A,Sentinel1A_20260722_084228_954,coincident_vessel,0.729,0.594,14.491,50.7,10.00131,75.84314,"POLYGON((75.86528 9.99948, 75.86289 10.01577, 75.84199 10.02561, 75.82823 10.01333, 75.82515 10.00057, 75.82729 9.98324, 75.84537 9.97865, 75.85591 9.98486, 75.86528 9.99948))",True
SLK-0119,2026-07-23T05:01:09Z,Sentinel-1A,Sentinel1A_20260723_050109_814,coincident_vessel,0.867,0.792,19.388,44.1,10.00032,76.27607,"POLYGON((76.30319 9.99945, 76.28964 10.01683, 76.27841 10.02417, 76.26142 10.01535, 76.25067 9.99913, 76.25604 9.98488, 76.27225 9.97302, 76.2937 9.97897, 76.30319 9.99945))",True
SLK-0087,2026-07-24T18:36:12Z,Sentinel-1B,Sentinel1B_20260724_183612_954,old_vessel,0.911,0.658,9.142,80.3,9.89794,75.73646,"POLYGON((75.7555 9.8978, 75.74335 9.90706, 75.73398 9.9155, 75.72739 9.9094, 75.72177 9.89613, 75.72425 9.8855, 75.73739 9.88595, 75.7457 9.88694, 75.7555 9.8978))",False
SLK-0115,2026-07-24T20:05:24Z,Sentinel-1A,Sentinel1A_20260724_200524_122,recent_vessel,0.901,0.699,10.602,73.9,10.11465,76.36691,"POLYGON((76.38048 10.11347, 76.37715 10.12601, 76.3705 10.12599, 76.36108 10.12793, 76.35092 10.12207, 76.3558 10.10965, 76.35842 10.10399, 76.3685 10.09433, 76.37917 10.10581, 76.38048 10.11347))",True
SLK-0013,2026-07-28T07:13:12Z,Sentinel-1A,Sentinel1A_20260728_071312_995,natural_seep,0.856,0.464,11.978,44.0,9.62178,75.77922,"POLYGON((75.79421 9.6221, 75.78643 9.63239, 75.77334 9.64067, 75.76364 9.62748, 75.76053 9.61176, 75.7778 9.60429, 75.78832 9.60662, 75.79421 9.6221))",True
SLK-0096,2026-07-29T11:01:54Z,EOS-04,EOS04_20260729_110154_855,ambiguous,0.966,0.361,16.659,28.9,10.15942,75.75222,"POLYGON((75.77807 10.16042, 75.76639 10.17316, 75.76017 10.18349, 75.73673 10.18076, 75.73351 10.1663, 75.73078 10.14919, 75.74219 10.13674, 75.75855 10.13706, 75.76695 10.1473, 75.77807 10.16042))",False
SLK-0014,2026-07-30T22:47:05Z,EOS-04,EOS04_20260730_224705_800,old_vessel,0.729,0.726,20.034,2.0,9.44416,76.42739,"POLYGON((76.45413 9.44078, 76.44416 9.46214, 76.42407 9.46086, 76.40504 9.45621, 76.40108 9.43134, 76.42212 9.41661, 76.44206 9.42588, 76.45413 9.44078))",True
SLK-0046,2026-07-31T16:34:02Z,Sentinel-1A,Sentinel1A_20260731_163402_199,coincident_vessel,0.709,0.867,19.58,15.5,9.40126,75.79527,"POLYGON((75.8188 9.40063, 75.80738 9.42095, 75.78988 9.42029, 75.77731 9.41262, 75.77499 9.39126, 75.78966 9.38647, 75.80949 9.37835, 75.8188 9.40063))",False
SLK-0057,2026-07-31T20:07:40Z,Sentinel-1A,Sentinel1A_20260731_200740_119,infrastructure,0.771,0.486,4.912,71.2,9.73612,76.3981,"POLYGON((76.40836 9.73667, 76.40504 9.7446, 76.39467 9.74677, 76.38761 9.74269, 76.38869 9.73301, 76.39632 9.72232, 76.40526 9.72539, 76.40836 9.73667))",True
SLK-0015,2026-07-31T23:55:27Z,EOS-04,EOS04_20260731_235527_761,coincident_vessel,0.769,0.848,12.604,55.4,10.29269,75.88047,"POLYGON((75.89949 10.29142, 75.8958 10.30685, 75.88642 10.31097, 75.8691 10.31212, 75.86066 10.30124, 75.86495 10.28657, 75.87134 10.27555, 75.88516 10.27278, 75.89803 10.27955, 75.89949 10.29142))",True
SLK-0112,2026-08-04T01:32:05Z,EOS-04,EOS04_20260804_013205_798,recent_vessel,0.92,0.7,4.254,78.5,9.92524,76.36799,"POLYGON((76.37856 9.92441, 76.37404 9.93212, 76.36394 9.93633, 76.36051 9.92962, 76.35946 9.92014, 76.36674 9.91439, 76.37482 9.91678, 76.37856 9.92441))",False
SLK-0021,2026-08-04T06:53:12Z,EOS-04,EOS04_20260804_065312_825,coincident_vessel,0.827,0.99,11.524,15.7,9.67285,75.86875,"POLYGON((75.88807 9.67442, 75.88471 9.6828, 75.87224 9.68795, 75.86035 9.68663, 75.84943 9.68144, 75.85234 9.66426, 75.86104 9.6624, 75.8736 9.65182, 75.88269 9.65992, 75.88807 9.67442))",False
SLK-0092,2026-08-05T16:24:09Z,Sentinel-1A,Sentinel1A_20260805_162409_504,coincident_vessel,0.909,0.783,1.855,47.6,9.68478,76.0341,"POLYGON((76.04255 9.68525, 76.03916 9.68901, 76.03313 9.69133, 76.02734 9.69015, 76.02526 9.68399, 76.03045 9.68146, 76.0345 9.67715, 76.03897 9.67967, 76.04255 9.68525))",True
