slick_id,rank,source_id,type,cpa,tcpa,drift_overlap,ais_gap_anomaly,behavioral_anomaly,fused_score,dominant_factor,navic_tracked
SLK-0029,1,DARK-3399,dark_vessel,0.519,0.57,0.519,0.76,0.492,0.565,ais_gap_anomaly,False
SLK-0029,2,DARK-5480,dark_vessel,0.375,0.404,0.74,0.645,0.514,0.51,drift_overlap,False
SLK-0031,1,DARK-9901,dark_vessel,0.601,0.139,0.502,0.929,0.733,0.528,ais_gap_anomaly,False
SLK-0033,1,259191088,vessel,0.805,0.878,0.801,0.319,0.031,0.672,tcpa,False
SLK-0033,2,DARK-9802,dark_vessel,0.631,0.389,0.599,0.99,0.562,0.611,ais_gap_anomaly,False
SLK-0033,3,441868633,vessel,0.666,0.721,0.765,0.339,0.203,0.604,drift_overlap,False
SLK-0034,1,412688263,vessel,0.746,0.834,0.794,0.202,0.098,0.631,tcpa,False
SLK-0034,2,636556093,vessel,0.885,0.699,0.623,0.025,0.148,0.583,cpa,False
SLK-0034,3,412231203,vessel,0.605,0.695,0.486,0.05,0.097,0.47,tcpa,False
SLK-0035,1,563850163,vessel,0.822,0.584,0.694,0.02,0.035,0.538,cpa,False
SLK-0036,1,412805891,vessel,0.886,0.788,0.722,0.119,0.138,0.639,cpa,False
SLK-0036,2,412575692,vessel,0.686,0.894,0.592,0.042,0.253,0.579,tcpa,False
SLK-0036,3,419512382,vessel,0.623,0.657,0.501,0.2,0.25,0.506,tcpa,False
SLK-0037,1,371577590,vessel,0.948,0.487,0.985,0.298,0.077,0.656,drift_overlap,False
SLK-0037,2,419958498,vessel,0.576,0.905,0.99,0.115,0.351,0.649,drift_overlap,False
SLK-0037,3,563903404,vessel,0.769,0.822,0.687,0.023,0.22,0.599,tcpa,False
SLK-0038,1,259269658,vessel,0.99,0.596,0.418,0.315,0.142,0.591,cpa,False
SLK-0038,2,371262218,vessel,0.56,0.62,0.722,0.23,0.246,0.526,drift_overlap,False
SLK-0040,1,636654195,vessel,0.914,0.853,0.751,0.173,0.163,0.68,cpa,False
SLK-0040,2,636670241,vessel,0.745,0.805,0.68,0.208,0.098,0.602,tcpa,False
SLK-0040,3,DARK-8365,dark_vessel,0.4,0.482,0.172,0.792,0.634,0.457,ais_gap_anomaly,False
SLK-0044,1,259905992,vessel,0.748,0.611,0.613,0.356,0.181,0.571,cpa,False
SLK-0045,1,259704331,vessel,0.658,0.544,0.863,0.144,0.163,0.544,drift_overlap,False
SLK-0046,1,371171467,vessel,0.718,0.48,0.665,0.255,0.281,0.535,cpa,False
SLK-0047,1,DARK-3451,dark_vessel,0.843,0.569,0.71,0.862,0.245,0.691,ais_gap_anomaly,False
SLK-0047,2,DARK-9589,dark_vessel,0.669,0.476,0.525,0.917,0.866,0.649,ais_gap_anomaly,False
SLK-0047,3,563485646,vessel,0.64,0.539,0.559,0.16,0.063,0.469,cpa,False
SLK-0048,1,636346800,vessel,0.635,0.621,0.663,0.233,0.391,0.552,drift_overlap,False
SLK-0049,1,477417248,vessel,0.853,0.708,0.555,0.111,0.102,0.571,cpa,False
SLK-0049,2,259007432,vessel,0.672,0.659,0.707,0.02,0.288,0.54,drift_overlap,False
SLK-0051,1,DARK-2458,dark_vessel,0.449,0.687,0.393,0.822,0.526,0.561,ais_gap_anomaly,True
SLK-0052,1,563552166,vessel,0.819,0.816,0.622,0.02,0.354,0.613,cpa,False
SLK-0052,2,636588916,vessel,0.69,0.604,0.522,0.274,0.028,0.506,cpa,False
SLK-0053,1,DARK-8414,dark_vessel,0.741,0.616,0.574,0.94,0.786,0.711,ais_gap_anomaly,False
SLK-0054,1,412846081,vessel,0.99,0.783,0.663,0.118,0.13,0.656,cpa,False
SLK-0054,2,441829221,vessel,0.596,0.832,0.782,0.07,0.02,0.556,tcpa,False
SLK-0054,3,441359893,vessel,0.813,0.318,0.624,0.21,0.168,0.496,cpa,False
SLK-0055,1,563128801,vessel,0.802,0.905,0.702,0.298,0.242,0.676,tcpa,False
SLK-0056,1,477223943,vessel,0.918,0.848,0.604,0.136,0.202,0.649,cpa,False
SLK-0057,1,COASTAL-BUOY-57,infrastructure,0.801,0.033,0.519,0.026,0.103,0.367,cpa,False
SLK-0058,1,636145303,vessel,0.486,0.67,0.394,0.295,0.225,0.459,tcpa,False
SLK-0059,1,477984257,vessel,0.703,0.668,0.592,0.187,0.345,0.559,cpa,False
SLK-0060,1,DARK-9783,dark_vessel,0.423,0.516,0.514,0.99,0.605,0.568,ais_gap_anomaly,False
SLK-0061,1,563906698,vessel,0.662,0.99,0.892,0.211,0.263,0.682,tcpa,False
SLK-0061,2,371769735,vessel,0.906,0.861,0.61,0.021,0.239,0.636,cpa,False
SLK-0062,1,371639208,vessel,0.978,0.752,0.487,0.036,0.164,0.601,cpa,False
SLK-0063,1,259455884,vessel,0.484,0.614,0.778,0.06,0.346,0.498,drift_overlap,False
SLK-0064,1,DARK-9835,dark_vessel,0.611,0.54,0.731,0.753,0.444,0.622,ais_gap_anomaly,False
SLK-0064,2,DARK-1813,dark_vessel,0.513,0.481,0.544,0.93,0.579,0.58,ais_gap_anomaly,True
SLK-0064,3,371578317,vessel,0.695,0.845,0.662,0.162,0.02,0.578,tcpa,False
SLK-0065,1,563837645,vessel,0.764,0.832,0.853,0.146,0.049,0.635,drift_overlap,False
SLK-0068,1,DARK-4537,dark_vessel,0.427,0.516,0.533,0.831,0.417,0.53,ais_gap_anomaly,True
SLK-0068,2,636928861,vessel,0.77,0.504,0.543,0.02,0.15,0.484,cpa,False
SLK-0070,1,DARK-7460,dark_vessel,0.816,0.531,0.659,0.687,0.637,0.676,cpa,False
SLK-0071,1,636639264,vessel,0.99,0.813,0.578,0.084,0.179,0.646,cpa,False
SLK-0071,2,441033521,vessel,0.843,0.738,0.683,0.367,0.113,0.64,cpa,False
SLK-0071,3,371070164,vessel,0.578,0.417,0.604,0.187,0.134,0.44,drift_overlap,False
SLK-0074,1,563452111,vessel,0.786,0.642,0.445,0.285,0.296,0.558,cpa,False
SLK-0075,1,259015569,vessel,0.723,0.676,0.711,0.23,0.106,0.573,cpa,False
SLK-0075,2,563472145,vessel,0.925,0.52,0.619,0.104,0.044,0.551,cpa,False
SLK-0076,1,371932149,vessel,0.83,0.846,0.533,0.173,0.209,0.614,tcpa,False
SLK-0076,2,477182307,vessel,0.522,0.895,0.747,0.207,0.424,0.603,tcpa,False
SLK-0077,1,DARK-5819,dark_vessel,0.848,0.573,0.556,0.849,0.213,0.657,ais_gap_anomaly,True
SLK-0077,2,259832197,vessel,0.761,0.852,0.783,0.129,0.248,0.642,tcpa,False
SLK-0078,1,441956544,vessel,0.758,0.815,0.851,0.08,0.141,0.627,drift_overlap,False
SLK-0078,2,412372395,vessel,0.861,0.739,0.671,0.12,0.067,0.602,cpa,False
SLK-0078,3,412927868,vessel,0.813,0.566,0.674,0.254,0.341,0.592,cpa,False
SLK-0079,1,441174654,vessel,0.781,0.75,0.675,0.053,0.179,0.583,cpa,False
SLK-0080,1,MANGROVE-RIG-80,infrastructure,0.734,0.109,0.628,0.057,0.111,0.393,cpa,False
SLK-0081,1,419204179,vessel,0.846,0.876,0.679,0.107,0.02,0.627,tcpa,False
SLK-0082,1,636127722,vessel,0.729,0.661,0.575,0.085,0.101,0.522,cpa,False
SLK-0083,1,COASTAL-BUOY-83,infrastructure,0.987,0.063,0.618,0.043,0.048,0.447,cpa,False
SLK-0084,1,477799077,vessel,0.99,0.742,0.347,0.02,0.319,0.587,cpa,False
SLK-0084,2,DARK-1203,dark_vessel,0.496,0.306,0.578,0.942,0.638,0.546,ais_gap_anomaly,True
SLK-0085,1,371795137,vessel,0.921,0.827,0.728,0.259,0.473,0.715,cpa,False
SLK-0086,1,441028140,vessel,0.516,0.867,0.588,0.165,0.362,0.55,tcpa,False
SLK-0086,2,441452380,vessel,0.622,0.49,0.293,0.215,0.305,0.43,cpa,False
SLK-0087,1,441300244,vessel,0.99,0.622,0.435,0.175,0.297,0.595,cpa,False
SLK-0091,1,DARK-4728,dark_vessel,0.338,0.589,0.484,0.953,0.426,0.531,ais_gap_anomaly,False
SLK-0091,2,DARK-4033,dark_vessel,0.501,0.099,0.69,0.889,0.727,0.519,ais_gap_anomaly,False
SLK-0092,1,412479695,vessel,0.763,0.578,0.836,0.2,0.279,0.599,drift_overlap,False
SLK-0092,2,371778485,vessel,0.63,0.768,0.476,0.319,0.223,0.546,tcpa,False
SLK-0092,3,563215353,vessel,0.371,0.442,0.855,0.283,0.185,0.454,drift_overlap,False
SLK-0094,1,636246651,vessel,0.961,0.507,0.434,0.141,0.298,0.553,cpa,False
SLK-0095,1,412321234,vessel,0.916,0.593,0.693,0.052,0.126,0.582,cpa,False
SLK-0097,1,636165266,vessel,0.99,0.594,0.708,0.39,0.353,0.681,cpa,False
SLK-0097,2,441359710,vessel,0.649,0.402,0.709,0.249,0.181,0.492,drift_overlap,False
SLK-0098,1,DARK-5654,dark_vessel,0.588,0.533,0.43,0.846,0.754,0.598,ais_gap_anomaly,False
SLK-0098,2,DARK-8949,dark_vessel,0.208,0.379,0.569,0.839,0.517,0.449,ais_gap_anomaly,False
SLK-0099,1,DARK-1718,dark_vessel,0.345,0.144,0.44,0.99,0.563,0.432,ais_gap_anomaly,False
SLK-0103,1,412412203,vessel,0.972,0.72,0.667,0.345,0.156,0.672,cpa,False
SLK-0103,2,371076789,vessel,0.694,0.353,0.9,0.037,0.205,0.503,drift_overlap,False
SLK-0105,1,563376037,vessel,0.937,0.603,0.799,0.233,0.259,0.653,cpa,False
SLK-0107,1,DARK-3043,dark_vessel,0.365,0.512,0.686,0.853,0.622,0.565,ais_gap_anomaly,False
SLK-0108,1,477877725,vessel,0.766,0.878,0.762,0.079,0.117,0.625,tcpa,False
SLK-0108,2,DARK-9713,dark_vessel,0.563,0.477,0.576,0.777,0.514,0.571,ais_gap_anomaly,False
SLK-0108,3,412497677,vessel,0.732,0.545,0.743,0.251,0.068,0.549,drift_overlap,False
SLK-0109,1,DARK-2981,dark_vessel,0.655,0.486,0.46,0.808,0.423,0.574,ais_gap_anomaly,False
SLK-0110,1,412870079,vessel,0.652,0.99,0.99,0.151,0.039,0.668,tcpa,False
SLK-0112,1,DARK-3101,dark_vessel,0.336,0.448,0.472,0.99,0.48,0.504,ais_gap_anomaly,False
SLK-0113,1,636613325,vessel,0.723,0.622,0.845,0.244,0.278,0.606,drift_overlap,False
SLK-0114,1,419249685,vessel,0.646,0.583,0.939,0.159,0.133,0.565,drift_overlap,False
SLK-0115,1,563026153,vessel,0.772,0.662,0.755,0.204,0.036,0.582,cpa,False
SLK-0116,1,259677665,vessel,0.579,0.744,0.527,0.103,0.251,0.506,tcpa,False
SLK-0118,1,636348170,vessel,0.767,0.685,0.666,0.048,0.433,0.585,cpa,False
SLK-0118,2,DARK-2709,dark_vessel,0.507,0.366,0.644,0.729,0.699,0.552,ais_gap_anomaly,False
SLK-0119,1,412815118,vessel,0.627,0.714,0.517,0.077,0.228,0.504,tcpa,False
SLK-0120,1,636106005,vessel,0.819,0.797,0.445,0.383,0.317,0.623,cpa,False
